loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,st_dist,st_teff,st_rad,pl_eqt,pl_rade,pl_disc
198,HAT-P-4,b,Transit,1,3.056536,0,314,5860,1.6,1686,14.28,2007
199,HAT-P-40,b,Transit,1,4.457243,0,501,6080,2.21,1770,19.392,2012
200,HAT-P-41,b,Transit,1,2.694047,0,344,6390,1.68,1941,18.887,2012
201,HAT-P-42,b,Transit,1,4.641878,0,447,5743,1.53,1428,14.348,2012
202,HAT-P-43,b,Transit,1,3.332687,0,542,5645,1.1,1361,14.359,2012
203,HAT-P-44,b,Transit,2,4.301219,0.044,363,5295,0.95,1108,13.922,2014
204,HAT-P-44,c,Radial Velocity,2,872.2,0.494,363,5295,0.95,,,2014
205,HAT-P-45,b,Transit,1,3.128992,0.049,305,6330,1.32,1652,15.984,2014
206,HAT-P-46,b,Transit,1,4.463129,0.123,296,6120,1.4,1458,14.392,2014
207,HAT-P-49,b,Transit,1,2.691548,0,322,6820,1.83,2131,15.838,2014
208,HAT-P-5,b,Transit,1,2.788491,0,340,5960,1.17,,14.12,2007
209,HAT-P-50,b,Transit,1,3.1220109,0.115,497,6280,1.7,1862,14.437,2015
210,HAT-P-51,b,Transit,1,4.2180278,0.123,470,5449,1.04,1192,14.493,2015
211,HAT-P-52,b,Transit,1,2.7535953,0.047,385,5131,0.89,1218,11.31,2015
212,HAT-P-53,b,Transit,1,1.9616241,0.134,719,5956,1.21,1778,14.773,2015
213,HAT-P-54,b,Transit,1,3.799847,0.074,,4390,0.62,818,10.581,2015
214,HAT-P-55,b,Transit,1,3.5852467,0.139,480,5808,1.01,1313,13.249,2015
215,HAT-P-56,b,Transit,1,2.7908327,0.246,310.5,6566,1.43,1840,16.432,2015
216,HAT-P-57,b,Transit,1,2.465295,0,303,7500,1.5,2200,15.838,2015
217,HAT-P-6,b,Transit,1,3.852985,0,261,6570,1.46,,14.908,2007
218,HAT-P-65,b,Transit,1,2.6054552,0.304,841,5835,1.86,1930,21.185,2016
219,HAT-P-66,b,Transit,1,2.972086,0.09,927,6002,1.88,1896,17.822,2016
220,HAT-P-67,b,Transit,1,4.8101025,0,320,6406,2.55,1903,23.371,2017
221,HAT-P-7,b,Transit,1,2.2047372,0.0016,320,6441,1.84,2700,16.713,2008
222,HAT-P-8,b,Transit,1,3.0763776,0,230,6200,1.58,1700,16.81,2008
223,HAT-P-9,b,Transit,1,3.92289,0,480,6350,1.32,1530,15.69,2008
224,HATS-1,b,Transit,1,3.446459,0.12,303,5870,1.04,1359,14.594,2012
225,HATS-10,b,Transit,1,3.312846,0.501,496,5880,1.1,1407,10.862,2015
226,HATS-11,b,Transit,1,3.6191634,,,6060,1.44,,16.668,2016
227,HATS-12,b,Transit,1,3.1428347,,,6408,2.21,,15.513,2016
228,HATS-13,b,Transit,1,3.0440499,0.181,476,5523,0.89,1244,13.585,2015
229,HATS-14,b,Transit,1,2.7667641,0.142,513,5346,0.93,1276,11.646,2015
230,HATS-15,b,Transit,1,1.74748753,0.126,689,5311,0.92,1505,12.386,2016
231,HATS-16,b,Transit,1,2.686502,0,774,5738,1.24,1592,14.572,2016
232,HATS-17,b,Transit,1,16.254611,0.029,339,5846,1.09,814,8.709,2016
233,HATS-18,b,Transit,1,0.8378434,0.166,645,5600,1.02,2060,14.986,2016
234,HATS-2,b,Transit,1,1.354133,0,360,5227,0.9,1577,13.092,2013
235,HATS-22,b,Transit,1,4.7228124,0.079,207.9,4803,0.69,858,10.682,2017
236,HATS-23,b,Transit,1,2.1605156,0.114,747,5780,1.2,1654,20.849,2017
237,HATS-24,b,Transit,1,1.3484954,0.242,510,6346,1.17,2067,16.668,2017
238,HATS-25,b,Transit,1,4.2986432,0.176,466,5715,1.11,1277,14.123,2016
239,HATS-26,b,Transit,1,3.3023881,0.245,907,6071,2.04,1918,19.616,2016
240,HATS-27,b,Transit,1,4.637038,0.581,840,6438,1.74,1659,16.814,2016
241,HATS-28,b,Transit,1,3.1810781,0.202,521,5498,0.92,1253,13.384,2016
242,HATS-29,b,Transit,1,4.6058749,0.158,351,5670,1.07,1212,14.022,2016
243,HATS-3,b,Transit,1,3.547851,0,453,6351,1.4,1648,15.48,2013
244,HATS-30,b,Transit,1,3.1743516,0.096,339,5943,1.06,1414,13.171,2016
245,HATS-31,b,Transit,1,3.37796,0.233,872,6050,1.87,1823,18.383,2016
246,HATS-32,b,Transit,1,2.8126548,0.471,839,5700,1.1,1437,14,2016
247,HATS-33,b,Transit,1,2.5495551,0.08,255,5659,1.02,1429,13.787,2016
248,HATS-34,b,Transit,1,2.1061607,0.108,532,5380,0.98,1445,16.029,2016
249,HATS-35,b,Transit,1,1.8209993,0.306,557,6300,1.43,2037,16.41,2016
250,HATS-36,b,Transit,1,4.1752387,0.105,962,6149,1.16,1356,13.843,2018
251,HATS-39,b,Transit,1,4.5776348,0.275,773,6572,1.62,1645,17.598,2018
252,HATS-4,b,Transit,1,2.516729,0.013,420,5403,0.93,1315,11.433,2014
253,HATS-40,b,Transit,1,3.2642736,0.312,1431,6460,2.26,2101,17.71,2018
254,HATS-41,b,Transit,1,4.193649,0.38,800,6424,1.71,1710,14.908,2018
255,HATS-42,b,Transit,1,2.292102,0.229,942,6060,1.48,1856,15.693,2018
256,HATS-5,b,Transit,1,4.763387,0.019,257,5304,0.87,1025,10.223,2014
257,HATS-50,b,Transit,1,3.8297015,0.516,717,5990,1.12,,12.666,2017
258,HATS-51,b,Transit,1,3.3488702,0.33,478,5758,1.44,1553,15.805,2017
259,HATS-52,b,Transit,1,1.36665436,0.246,631,6010,1.05,1834,15.491,2017
260,HATS-53,b,Transit,1,3.8537768,0.33,613,5644,1.1,1312,15.02,2017
261,HATS-6,b,Transit,1,3.3252725,0,148.4,3724,0.57,713,11.187,2015
262,HATS-8,b,Transit,1,3.583893,0.376,829,5679,1.09,1324,9.785,2015
263,HATS-9,b,Transit,1,1.915311,,622,5366,1.5,,13.141,2015
264,HD 100546,b,Imaging,1,,,97,10500,,,77.342,2014
265,HD 100655,b,Radial Velocity,1,157.57,0.085,140.85,4861,9.3,,,2011
266,HD 100777,b,Radial Velocity,1,383.7,0.36,52.8,5582,,,,2007
267,HD 10180,c,Radial Velocity,6,5.75969,0.073,39.02,5911,1.11,,,2010
268,HD 10180,d,Radial Velocity,6,16.357,0.131,39.02,5911,1.11,,,2010
269,HD 10180,e,Radial Velocity,6,49.748,0.051,39.02,5911,1.11,,,2010
270,HD 10180,f,Radial Velocity,6,122.744,0.119,39.02,5911,1.11,,,2010
271,HD 10180,g,Radial Velocity,6,604.67,0.263,39.02,5911,1.11,,,2010
272,HD 10180,h,Radial Velocity,6,2205,0.095,39.02,5911,1.11,,,2010
273,HD 101930,b,Radial Velocity,1,70.46,0.11,30.5,5079,,,,2005
274,HD 102117,b,Radial Velocity,1,20.8133,0.121,42,5695,,,,2005
275,HD 102195,b,Radial Velocity,1,4.113775,0,28.98,5291,,,,2006
276,HD 102272,b,Radial Velocity,1,127.58,0.05,164.2,4908,10.1,,,2008
277,HD 102329,b,Radial Velocity,1,778.1,0.211,138.5,4830,6.3,,,2011
278,HD 102365,b,Radial Velocity,1,122.1,0.34,9.24,5630,,,,2010
279,HD 102956,b,Radial Velocity,1,6.495,0.048,121.07,5054,4.4,,,2010
280,HD 103197,b,Radial Velocity,1,47.84,0,49.33,5303,,,,2009
281,HD 103720,b,Radial Velocity,1,4.5557,0.086,41.6,5017,0.73,,,2014
282,HD 103774,b,Radial Velocity,1,5.8881,0.09,53.08,6489,,,,2013
283,HD 104067,b,Radial Velocity,1,55.806,0,20.82,4969,,,,2009
284,HD 10442,b,Radial Velocity,1,1043,0.11,,5034,,,,2014
285,HD 104985,b,Radial Velocity,1,199.505,0.09,102.04,4877,11,,,2003
286,HD 106252,b,Radial Velocity,1,1531,0.482,37.4,5870,,,,2002
287,HD 106270,b,Radial Velocity,1,2890,0.402,87.87,5638,2.5,,,2011
288,HD 106315,b,Transit,2,9.55385,0.31,,6254,1.28,1146,2.4,2017
289,HD 106315,c,Transit,2,21.058,0.18,,6254,1.28,874,4.4,2017
290,HD 10647,b,Radial Velocity,1,989.2,0.15,17.35,6218,1.1,,,2006
291,HD 106515 A,b,Radial Velocity,1,3630,0.572,36.36,5362,1.62,,,2012
292,HD 106906,b,Imaging,1,,,91.83,6516,,1800,,2013
293,HD 10697,b,Radial Velocity,1,1075.2,0.099,32.6,5680,,,,1999
294,HD 107148,b,Radial Velocity,1,48.056,0.05,51.26,5797,,,,2005
295,HD 108147,b,Radial Velocity,1,10.8985,0.53,38.56,6265,,,,2002
296,HD 108341,b,Radial Velocity,1,1129,0.85,49.4,5122,0.79,,,2014
297,HD 108863,b,Radial Velocity,1,443.4,0.06,138.5,4956,5.6,,,2011
298,HD 108874,b,Radial Velocity,2,395.8,0.082,68.5,5551,,,,2002
299,HD 108874,c,Radial Velocity,2,1624,0.239,68.5,5551,,,,2005
300,HD 109246,b,Radial Velocity,1,68.27,0.12,65.6,5844,1.02,,,2010
301,HD 109271,b,Radial Velocity,2,7.8543,0.25,56.92,5783,,,,2013
302,HD 109271,c,Radial Velocity,2,30.93,0.15,56.92,5783,,,,2013
303,HD 109749,b,Radial Velocity,1,5.24,0.01,59.03,5903,1.24,,,2005
304,HD 110014,b,Radial Velocity,1,835.477,0.462,90,4445,20.9,,,2009
305,HD 111232,b,Radial Velocity,1,1143,0.2,28.88,5494,,,,2003
306,HD 111591,b,Radial Velocity,1,1056.4,0.26,108.46,4884,8.03,,,2017
307,HD 111998,b,Radial Velocity,1,825.9,0.03,32.73,6557,1.45,,,2016
308,HD 113337,b,Radial Velocity,1,324,0.46,37.42,6576.6,1.5,,,2013
309,HD 113538,b,Radial Velocity,2,663.2,0.14,15.9,4462,0.53,,,2010
310,HD 113538,c,Radial Velocity,2,1818,0.2,15.9,4462,0.53,,,2010
311,HD 113996,b,Radial Velocity,1,610.2,0.28,101.63,4181,25.11,,,2017
312,HD 114386,b,Radial Velocity,1,937.7,0.23,28.04,4804,,,,2003
313,HD 114613,b,Radial Velocity,1,3827,0.25,20.48,5729,,,,2014
314,HD 114729,b,Radial Velocity,1,1114,0.167,35,5821,,,,2002
315,HD 114762,b,Radial Velocity,1,83.9151,0.3354,40.57,5673,1.24,,12.44,1989
316,HD 114783,b,Radial Velocity,1,493.7,0.144,20.4,5135,,,,2001
317,HD 11506,b,Radial Velocity,2,1627.5,0.37,51.7,6055,1.33,,,2007
