loc_rowid,star_name,planet_letter,pl_pnum,orbital_period,radius,st_dist,st_teff,st_mass,st_rad,rowupdate
1,11 Com,b,1,326.03,,110.62,4742,2.7,19,5/14/2014
2,11 UMi,b,1,516.22,,119.47,4340,1.8,24.08,5/14/2014
3,14 And,b,1,185.84,,76.39,4813,2.2,11,5/14/2014
4,14 Her,b,1,1773.4,,18.15,5311,0.9,,5/14/2014
5,16 Cyg B,b,1,798.5,,21.41,5674,0.99,,9/10/2015
6,18 Del,b,1,993.3,,73.1,4979,2.3,8.5,5/14/2014
7,1RXS J160929.1-210524,b,1,,,145,4060,0.85,,4/1/2015
8,24 Sex,b,2,452.8,,74.79,5098,1.54,4.9,5/14/2014
9,24 Sex,c,2,883,,74.79,5098,1.54,4.9,5/14/2014
10,2MASS J01225093-2439505,b,1,,,36,3530,0.4,,5/14/2014
11,2MASS J02192210-3925225,b,1,,1.44,39.4,3064,0.11,0.28,5/14/2015
12,2MASS J04414489+2301513,b,1,,,140,,0.02,,5/14/2014
13,2MASS J12073346-3932539,b,1,,,52.4,,0.02,,5/14/2014
14,2MASS J19383260+4603591,b,1,416,,,,0.48,,6/4/2015
15,2MASS J21402931+1625183 A,b,1,7336.5,0.92,25,2300,0.08,0.12,5/14/2014
16,2MASS J22362452+4751425,b,1,,,74,4045,0.6,,11/10/2016
17,30 Ari B,b,1,335.1,,39.43,6300,1.16,1.13,5/14/2014
18,4 UMa,b,1,269.3,,77.4,4415,1.23,18.11,5/14/2014
19,42 Dra,b,1,479.1,,97.28,4200,0.98,22.03,5/14/2014
20,47 UMa,b,3,1078,,14.08,5892,1.03,1.23,5/14/2014
21,47 UMa,c,3,2391,,14.08,5892,1.03,1.23,5/14/2014
22,47 UMa,d,3,14002,,14.08,5892,1.03,1.23,5/14/2014
23,51 Eri,b,1,,,29.4,,1.75,,8/14/2015
24,51 Peg,b,1,4.230785,,15.36,5793,1.12,1.2,5/14/2014
25,55 Cnc,b,5,14.65152,,12.53,5196,0.91,0.94,10/29/2014
26,55 Cnc,c,5,44.4175,,12.53,5196,0.91,0.94,10/29/2014
27,55 Cnc,d,5,4825,,12.53,5196,0.91,0.94,10/29/2014
28,55 Cnc,e,5,0.736539,0.17,12.53,5196,0.91,0.94,7/7/2016
29,55 Cnc,f,5,262,,12.53,5196,0.91,0.94,10/29/2014
30,6 Lyn,b,1,874.774,,56.95,4978,1.7,5.2,9/3/2015
31,61 Vir,b,3,4.215,,8.52,5577,0.94,0.96,5/14/2014
32,61 Vir,c,3,38.021,,8.52,5577,0.94,0.96,5/14/2014
33,61 Vir,d,3,123.01,,8.52,5577,0.94,0.96,5/14/2014
34,7 CMa,b,1,796,,19.84,4792,1.52,2.3,10/22/2015
35,70 Vir,b,1,116.6926,,18.11,5439,1.09,1.94,4/24/2015
36,75 Cet,b,1,691.9,,81.5,4846,2.49,10.5,9/3/2015
37,8 UMi,b,1,93.4,,159.1,4847.4,1.8,9.9,10/15/2015
38,81 Cet,b,1,952.7,,97.18,4785,2.4,11,5/14/2014
39,91 Aqr,b,1,181.4,,45.52,4665,1.4,11,5/14/2014
40,AB Pic,b,1,,,45.52,,,,5/14/2014
41,BD+03 2562,b,1,481.9,,2618,4095,1.14,32.35,6/15/2017
42,BD+14 4559,b,1,268.94,,50.03,5008,0.86,0.95,5/14/2014
43,BD+15 2375,b,1,153.22,,774,4649,1.08,8.95,2/4/2016
44,BD+15 2940,b,1,137.48,,175.44,4796,1.1,14.7,5/14/2014
45,BD+20 1790,b,1,7.78287,,25.4,4410,0.63,0.71,3/26/2015
46,BD+20 2457,b,2,379.63,,200,4137,2.8,49,5/14/2014
47,BD+20 2457,c,2,621.99,,200,4137,2.8,49,5/14/2014
48,BD+20 274,b,1,578.2,,,4296,0.8,17.3,9/18/2015
49,BD+20 594,b,1,41.6855,0.199,,5766,0.96,0.93,7/28/2016
50,BD+48 738,b,1,392.6,,,4414,0.74,11,8/13/2015
51,BD+48 740,b,1,733,,751.87,4534,1.09,10.33,2/1/2018
52,BD+49 828,b,1,2590,,,4943,1.52,7.6,2/5/2015
53,BD-06 1339,b,2,3.8728,,20.1,4324,0.7,,5/14/2014
54,BD-06 1339,c,2,125.94,,20.1,4324,0.7,,5/14/2014
55,BD-08 2823,b,2,5.6,,42.09,4746,0.74,,5/14/2014
56,BD-08 2823,c,2,237.6,,42.09,4746,0.74,,5/14/2014
57,BD-10 3166,b,1,3.48777,,80,5393,1.01,,8/27/2014
58,BD-11 4672,b,1,1667,,27.3,4475,0.57,0.52,1/8/2015
59,BD-13 2130,b,1,714.3,,766,,2.4,,5/14/2015
60,BD-17 63,b,1,655.6,,37.54,4714,0.74,0.69,5/14/2014
61,CFBDSIR J145829+101343,b,1,10037.5,,23.1,580.5,0.02,,5/14/2014
62,CHXR 73,b,1,,,,,0.35,,5/14/2014
63,CT Cha,b,1,,2.2,165,,,,5/14/2014
64,CoRoT-1,b,1,1.5089557,1.49,,5950,0.95,1.11,5/14/2014
65,CoRoT-10,b,1,13.2406,0.97,345,5075,0.89,0.79,5/14/2014
66,CoRoT-11,b,1,2.99433,1.43,560,6440,1.27,1.37,5/14/2014
67,CoRoT-12,b,1,2.828042,1.44,1150,5675,1.08,1.12,5/14/2014
68,CoRoT-13,b,1,4.03519,0.885,1060,5945,1.09,1.01,5/14/2014
69,CoRoT-14,b,1,1.51214,1.09,1340,6035,1.13,1.21,5/14/2014
70,CoRoT-16,b,1,5.35227,1.17,840,5650,1.1,1.19,5/14/2014
71,CoRoT-17,b,1,3.7681,1.02,920,5740,1.04,1.59,5/14/2014
72,CoRoT-18,b,1,1.9000693,1.31,870,5440,0.95,1,5/14/2014
73,CoRoT-19,b,1,3.89713,1.29,770,6090,1.21,1.65,5/14/2014
74,CoRoT-2,b,1,1.7429935,1.466,200,5625,0.96,0.91,5/14/2014
75,CoRoT-20,b,1,9.24285,0.84,1230,5880,1.14,1.02,5/14/2014
76,CoRoT-22,b,1,9.75598,0.435,592,5939,1.1,1.14,8/21/2014
77,CoRoT-23,b,1,3.6313,1.05,600,5900,1.14,1.61,5/14/2014
78,CoRoT-24,b,2,5.1134,0.33,600,4950,0.91,0.86,6/11/2014
79,CoRoT-24,c,2,11.759,0.44,600,4950,0.91,0.86,6/11/2014
80,CoRoT-25,b,1,4.86069,1.08,1000,6040,1.09,1.19,5/14/2014
81,CoRoT-26,b,1,4.20474,1.26,1670,5590,1.09,1.79,5/14/2014
82,CoRoT-27,b,1,3.57532,1.007,,5900,1.05,1.08,5/14/2014
83,CoRoT-28,b,1,5.20851,0.955,560,5150,1.01,1.78,4/16/2015
84,CoRoT-29,b,1,2.85057,0.9,765,5260,0.97,0.9,4/16/2015
85,CoRoT-3,b,1,4.2568,1.01,680,6740,1.37,1.56,5/14/2014
86,CoRoT-4,b,1,9.20205,1.19,,6190,1.16,1.17,5/14/2014
87,CoRoT-5,b,1,4.0378962,1.388,,6100,1,1.19,5/14/2014
88,CoRoT-6,b,1,8.886593,1.166,,6090,1.05,1.02,5/14/2014
89,CoRoT-7,b,2,0.85359159,0.141,153.7,5259,0.91,0.82,3/5/2015
90,CoRoT-7,c,2,3.698,,153.7,5259,0.91,0.82,9/10/2015
91,CoRoT-8,b,1,6.21229,0.57,380,5080,0.88,0.77,5/14/2014
92,CoRoT-9,b,1,95.272656,1.066,460,5625,0.96,0.96,12/14/2017
93,CoRoTID 223977153,b,1,6.71837,0.57,,5970,1.08,0.79,9/15/2017
94,DENIS-P J082303.1-491201,b,1,246.36,,20.77,,0.07,,5/14/2014
95,DH Tau,b,1,,,140,,0.33,0.27,5/14/2014
96,DP Leo,b,1,10220,,,,0.69,,5/14/2014
97,EPIC 211822797,b,1,21.169861,0.177,,4148.21,0.66,0.57,10/26/2017
98,EPIC 220674823,b,2,0.571336,0.162,,5496,0.92,0.95,12/14/2017
99,EPIC 220674823,c,2,13.3387,0.247,,5496,0.92,0.95,12/14/2017
100,FU Tau,b,1,,,140,2838,0.05,,3/10/2016
101,Fomalhaut,b,1,555530,,7.7,,1.92,,11/19/2015
102,GJ 1132,b,1,1.6289287,0.128,12.04,,0.18,0.26,7/27/2017
103,GJ 1148,b,2,41.38,,11.03,,,,10/19/2017
104,GJ 1148,c,2,532.58,,11.03,,,,10/19/2017
105,GJ 1214,b,1,1.58040456,0.254,12.95,3170,0.16,0.18,12/3/2015
106,GJ 163,b,3,8.63182,,14.97,3500,0.4,,1/26/2017
107,GJ 163,c,3,25.63058,,14.97,3500,0.4,,1/26/2017
108,GJ 163,d,3,603.95116,,14.97,3500,0.4,,1/26/2017
109,GJ 179,b,1,2288,,12.12,3370,0.36,0.38,5/14/2014
110,GJ 273,b,2,18.6498,,3.8,3382,0.29,0.29,3/30/2017
111,GJ 273,c,2,4.7234,,3.8,3382,0.29,0.29,3/30/2017
112,GJ 3021,b,1,133.71,,17.62,5540,0.9,0.9,5/14/2014
113,GJ 3138,b,3,1.22003,,28.48,3717,0.68,0.5,3/30/2017
114,GJ 3138,c,3,5.974,,28.48,3717,0.68,0.5,3/30/2017
115,GJ 3138,d,3,257.8,,28.48,3717,0.68,0.5,3/30/2017
116,GJ 317,b,1,692,,15.1,3510,0.42,,8/27/2014
117,GJ 328,b,1,4100,,20.03,3900,0.69,,5/14/2014
118,GJ 3293,b,4,30.5987,,15.77,3466,0.42,0.4,3/30/2017
119,GJ 3293,c,4,122.6196,,15.77,3466,0.42,0.4,3/30/2017
120,GJ 3293,d,4,48.1345,,15.77,3466,0.42,0.4,3/30/2017
121,GJ 3293,e,4,13.2543,,15.77,3466,0.42,0.4,3/30/2017
122,GJ 3323,b,2,5.3636,,5.32,3159,0.16,0.12,3/30/2017
123,GJ 3323,c,2,40.54,,5.32,3159,0.16,0.12,3/30/2017
124,GJ 3341,b,1,14.207,,23.16,3526,0.47,0.44,12/3/2014
125,GJ 3470,b,1,3.3366487,0.346,25.2,3652,0.51,0.48,7/23/2014
126,GJ 3634,b,1,2.64561,,19.8,,0.45,0.43,8/21/2014
127,GJ 3942,b,1,6.905,,16.96,3867,0.63,0.61,12/21/2017
128,GJ 3998,b,2,2.64977,,17.79,3722,0.5,0.49,7/28/2016
129,GJ 3998,c,2,13.74,,17.79,3722,0.5,0.49,7/28/2016
130,GJ 433,b,1,7.3709,,9.04,3600,0.48,,5/14/2014
131,GJ 436,b,1,2.64388312,0.372,10.23,,0.47,0.46,2/5/2015
132,GJ 504,b,1,,,17.95,6234,1.22,,5/14/2014
133,GJ 536,b,1,8.7076,,10.03,3685,0.52,0.5,11/17/2016
134,GJ 581,b,3,5.3686,,6.27,,0.31,0.29,7/9/2014
135,GJ 581,c,3,12.914,,6.27,,0.31,0.29,7/9/2014
136,GJ 581,e,3,3.149,,6.27,,0.31,0.29,7/9/2014
137,GJ 625,b,1,14.628,,6.49,3499,0.3,0.31,9/28/2017
138,GJ 649,b,1,598.3,,10.32,3700,0.54,,5/14/2014
139,GJ 667 C,b,5,7.2004,,6.8,3350,0.33,,5/14/2014
140,GJ 667 C,c,5,28.14,,6.8,3350,0.33,,5/14/2014
141,GJ 667 C,e,5,62.24,,6.8,3350,0.33,,5/14/2014
142,GJ 667 C,f,5,39.026,,6.8,3350,0.33,,5/14/2014
143,GJ 667 C,g,5,256.2,,6.8,3350,0.33,,5/14/2014
144,GJ 674,b,1,4.6938,,4.54,3600,0.35,,5/14/2014
145,GJ 676 A,b,4,1051.1,,16.9,,0.71,,9/29/2016
146,GJ 676 A,c,4,7337,,16.9,,0.71,,9/29/2016
147,GJ 676 A,d,4,3.6005,,16.9,,0.71,,9/29/2016
148,GJ 676 A,e,4,35.39,,16.9,,0.71,,9/29/2016
149,GJ 687,b,1,38.14,,4.53,3413,0.41,0.42,5/28/2014
150,GJ 832,b,2,3657,,4.94,3472,0.45,,6/25/2014
151,GJ 832,c,2,35.68,,4.94,3472,0.45,,6/25/2014
152,GJ 849,b,1,1845,,8.77,,0.49,,8/27/2014
153,GJ 86,b,1,15.76491,,10.91,5151,0.77,,5/14/2014
154,GJ 876,b,4,61.1166,,4.7,,0.32,0.3,8/27/2014
155,GJ 876,c,4,30.0881,,4.7,,0.32,0.3,8/27/2014
156,GJ 876,d,4,1.93778,,4.7,,0.32,0.3,8/27/2014
157,GJ 876,e,4,124.26,,4.7,,0.32,0.3,8/27/2014
158,GJ 9827,b,3,1.208957,0.156,30.3,4255,0.66,0.65,11/2/2017
159,GJ 9827,c,3,3.64802,0.121,30.3,4255,0.66,0.65,11/2/2017
160,GJ 9827,d,3,6.20141,0.187,30.3,4255,0.66,0.65,11/2/2017
161,GQ Lup,b,1,,3,139,,0.7,,5/14/2014
162,GSC 06214-00210,b,1,,,145,4200,0.9,,4/1/2015
163,GU Psc,b,1,,1.265,48,,0.33,,5/14/2014
164,HAT-P-1,b,1,4.46529976,1.319,139,5980,1.15,1.17,9/10/2015
165,HAT-P-11,b,1,4.8878162,0.422,38,4780,0.81,0.75,5/14/2014
166,HAT-P-12,b,1,3.2130598,0.959,142.5,4650,0.73,0.7,5/14/2014
167,HAT-P-13,b,2,2.91625,1.272,214,5653,1.22,1.56,10/15/2014
168,HAT-P-13,c,2,446.27,,214,5653,1.22,1.56,5/16/2014
169,HAT-P-14,b,1,4.627669,1.15,205,6600,1.39,1.47,5/14/2014
170,HAT-P-15,b,1,10.863502,1.072,190,5568,1.01,1.08,5/14/2014
171,HAT-P-16,b,1,2.77596,1.289,235,6158,1.22,1.24,5/14/2014
172,HAT-P-17,b,2,10.338523,1.01,90,5246,0.86,0.84,5/14/2014
173,HAT-P-17,c,2,5584,,90,5246,0.86,0.84,5/14/2014
174,HAT-P-18,b,1,5.508023,0.995,166,4803,0.77,0.75,5/14/2014
175,HAT-P-19,b,1,4.008778,1.132,215,4990,0.84,0.82,5/14/2014
176,HAT-P-2,b,1,5.6334729,1.157,135.32,6290,1.36,1.64,5/14/2014
177,HAT-P-20,b,1,2.875317,0.867,70,4595,0.76,0.69,5/14/2014
178,HAT-P-21,b,1,4.124481,1.024,254,5588,0.95,1.1,5/14/2014
179,HAT-P-22,b,1,3.21222,1.08,82,5302,0.92,1.04,5/14/2014
180,HAT-P-23,b,1,1.21288287,1.224,393,5885,1.1,1.09,3/26/2015
181,HAT-P-24,b,1,3.35524,1.242,396,6373,1.19,1.32,5/14/2014
182,HAT-P-25,b,1,3.652836,1.19,297,5500,1.01,0.96,5/14/2014
183,HAT-P-26,b,1,4.234516,0.565,134,5079,0.82,0.79,5/14/2014
184,HAT-P-27,b,1,3.039577,1.02,204,5300,0.94,0.9,2/1/2018
185,HAT-P-28,b,1,3.257215,1.212,395,5680,1.02,1.1,5/14/2014
186,HAT-P-29,b,1,5.723186,1.107,322,6087,1.21,1.22,5/14/2014
187,HAT-P-3,b,1,2.899736,0.827,138,5185,0.92,0.8,5/14/2014
188,HAT-P-30,b,1,2.810595,1.34,193,6304,1.24,1.22,5/14/2014
189,HAT-P-31,b,1,5.005425,1.07,354,6065,1.22,1.36,5/14/2014
190,HAT-P-32,b,1,2.15000805,1.789,283,6269,,1.22,10/15/2014
191,HAT-P-33,b,1,3.474474,1.686,387,6446,1.38,1.64,5/14/2014
192,HAT-P-34,b,1,5.452654,1.197,257,6442,1.39,1.53,5/14/2014
193,HAT-P-35,b,1,3.646706,1.332,535,6096,1.24,1.44,5/14/2014
194,HAT-P-36,b,1,1.327347,1.264,317,5560,1.02,1.1,5/14/2014
195,HAT-P-37,b,1,2.797436,1.178,411,5500,0.93,0.88,5/14/2014
196,HAT-P-38,b,1,4.640382,0.825,249,5330,0.89,0.92,5/14/2014
197,HAT-P-39,b,1,3.54387,1.571,642,6430,1.4,1.62,5/14/2014
198,HAT-P-4,b,1,3.056536,1.274,314,5860,1.26,1.6,5/14/2014
199,HAT-P-40,b,1,4.457243,1.73,501,6080,1.51,2.21,5/14/2014
200,HAT-P-41,b,1,2.694047,1.685,344,6390,1.42,1.68,5/14/2014
201,HAT-P-42,b,1,4.641878,1.28,447,5743,1.18,1.53,5/14/2014
202,HAT-P-43,b,1,3.332687,1.281,542,5645,1.05,1.1,5/14/2014
203,HAT-P-44,b,2,4.301219,1.242,363,5295,0.94,0.95,5/14/2014
204,HAT-P-44,c,2,872.2,,363,5295,0.94,0.95,5/14/2014
205,HAT-P-45,b,1,3.128992,1.426,305,6330,1.26,1.32,5/14/2014
206,HAT-P-46,b,1,4.463129,1.284,296,6120,1.28,1.4,5/14/2014
207,HAT-P-49,b,1,2.691548,1.413,322,6820,1.54,1.83,5/14/2014
208,HAT-P-5,b,1,2.788491,1.26,340,5960,1.16,1.17,5/14/2014
209,HAT-P-50,b,1,3.1220109,1.288,497,6280,1.27,1.7,11/19/2015
210,HAT-P-51,b,1,4.2180278,1.293,470,5449,0.98,1.04,11/19/2015
211,HAT-P-52,b,1,2.7535953,1.009,385,5131,0.89,0.89,11/19/2015
212,HAT-P-53,b,1,1.9616241,1.318,719,5956,1.09,1.21,11/19/2015
213,HAT-P-54,b,1,3.799847,0.944,,4390,0.65,0.62,4/24/2015
214,HAT-P-55,b,1,3.5852467,1.182,480,5808,1.01,1.01,6/17/2015
215,HAT-P-56,b,1,2.7908327,1.466,310.5,6566,1.3,1.43,7/23/2015
216,HAT-P-57,b,1,2.465295,1.413,303,7500,1.47,1.5,11/5/2015
217,HAT-P-6,b,1,3.852985,1.33,261,6570,1.29,1.46,5/14/2014
218,HAT-P-65,b,1,2.6054552,1.89,841,5835,1.21,1.86,9/15/2016
219,HAT-P-66,b,1,2.972086,1.59,927,6002,1.25,1.88,9/15/2016
220,HAT-P-67,b,1,4.8101025,2.085,320,6406,1.64,2.55,4/13/2017
221,HAT-P-7,b,1,2.2047372,1.491,320,6441,1.47,1.84,8/18/2016
222,HAT-P-8,b,1,3.0763776,1.5,230,6200,1.28,1.58,5/14/2014
223,HAT-P-9,b,1,3.92289,1.4,480,6350,1.28,1.32,5/14/2014
224,HATS-1,b,1,3.446459,1.302,303,5870,0.99,1.04,5/14/2014
225,HATS-10,b,1,3.312846,0.969,496,5880,1.1,1.1,5/21/2015
226,HATS-11,b,1,3.6191634,1.487,,6060,1,1.44,1/18/2018
227,HATS-12,b,1,3.1428347,1.384,,6408,1.49,2.21,1/18/2018
228,HATS-13,b,1,3.0440499,1.212,476,5523,0.96,0.89,8/13/2015
229,HATS-14,b,1,2.7667641,1.039,513,5346,0.97,0.93,8/13/2015
230,HATS-15,b,1,1.74748753,1.105,689,5311,0.87,0.92,6/23/2016
231,HATS-16,b,1,2.686502,1.3,774,5738,0.97,1.24,6/23/2016
232,HATS-17,b,1,16.254611,0.777,339,5846,1.13,1.09,9/15/2016
233,HATS-18,b,1,0.8378434,1.337,645,5600,1.04,1.02,10/27/2016
234,HATS-2,b,1,1.354133,1.168,360,5227,0.88,0.9,5/14/2014
235,HATS-22,b,1,4.7228124,0.953,207.9,4803,0.76,0.69,3/16/2017
236,HATS-23,b,1,2.1605156,1.86,747,5780,1.12,1.2,3/16/2017
237,HATS-24,b,1,1.3484954,1.487,510,6346,1.21,1.17,3/16/2017
238,HATS-25,b,1,4.2986432,1.26,466,5715,0.99,1.11,6/9/2016
239,HATS-26,b,1,3.3023881,1.75,907,6071,1.3,2.04,6/9/2016
240,HATS-27,b,1,4.637038,1.5,840,6438,1.42,1.74,6/9/2016
241,HATS-28,b,1,3.1810781,1.194,521,5498,0.93,0.92,6/9/2016
242,HATS-29,b,1,4.6058749,1.251,351,5670,1.03,1.07,6/9/2016
243,HATS-3,b,1,3.547851,1.381,453,6351,1.21,1.4,5/14/2014
244,HATS-30,b,1,3.1743516,1.175,339,5943,1.09,1.06,6/9/2016
245,HATS-31,b,1,3.37796,1.64,872,6050,1.27,1.87,12/1/2016
246,HATS-32,b,1,2.8126548,1.249,839,5700,1.1,1.1,12/1/2016
247,HATS-33,b,1,2.5495551,1.23,255,5659,1.06,1.02,12/1/2016
248,HATS-34,b,1,2.1061607,1.43,532,5380,0.95,0.98,12/1/2016
249,HATS-35,b,1,1.8209993,1.464,557,6300,1.32,1.43,12/1/2016
250,HATS-36,b,1,4.1752387,1.235,962,6149,1.22,1.16,3/26/2018
251,HATS-39,b,1,4.5776348,1.57,773,6572,1.38,1.62,4/12/2018
252,HATS-4,b,1,2.516729,1.02,420,5403,1,0.93,7/2/2014
253,HATS-40,b,1,3.2642736,1.58,1431,6460,1.56,2.26,4/12/2018
254,HATS-41,b,1,4.193649,1.33,800,6424,1.5,1.71,4/12/2018
255,HATS-42,b,1,2.292102,1.4,942,6060,1.27,1.48,4/12/2018
256,HATS-5,b,1,4.763387,0.912,257,5304,0.94,0.87,5/14/2014
257,HATS-50,b,1,3.8297015,1.13,717,5990,1.17,1.12,1/5/2018
258,HATS-51,b,1,3.3488702,1.41,478,5758,1.19,1.44,1/5/2018
259,HATS-52,b,1,1.36665436,1.382,631,6010,1.11,1.05,1/5/2018
260,HATS-53,b,1,3.8537768,1.34,613,5644,0.96,1.1,1/5/2018
261,HATS-6,b,1,3.3252725,0.998,148.4,3724,0.57,0.57,5/14/2015
262,HATS-8,b,1,3.583893,0.873,829,5679,1.06,1.09,6/17/2015
263,HATS-9,b,1,1.915311,1.172,622,5366,1.03,1.5,1/18/2018
264,HD 100546,b,1,,6.9,97,10500,2.4,,5/14/2015
265,HD 100655,b,1,157.57,,140.85,4861,2.4,9.3,5/14/2014
266,HD 100777,b,1,383.7,,52.8,5582,1.01,,5/14/2014
267,HD 10180,c,6,5.75969,,39.02,5911,1.06,1.11,6/25/2015
268,HD 10180,d,6,16.357,,39.02,5911,1.06,1.11,6/25/2015
269,HD 10180,e,6,49.748,,39.02,5911,1.06,1.11,6/25/2015
270,HD 10180,f,6,122.744,,39.02,5911,1.06,1.11,6/25/2015
271,HD 10180,g,6,604.67,,39.02,5911,1.06,1.11,6/25/2015
272,HD 10180,h,6,2205,,39.02,5911,1.06,1.11,6/25/2015
273,HD 101930,b,1,70.46,,30.5,5079,0.74,,5/14/2014
274,HD 102117,b,1,20.8133,,42,5695,1.11,,5/14/2014
275,HD 102195,b,1,4.113775,,28.98,5291,0.87,,5/14/2014
276,HD 102272,b,1,127.58,,164.2,4908,1.9,10.1,5/14/2014
277,HD 102329,b,1,778.1,,138.5,4830,1.95,6.3,5/14/2014
278,HD 102365,b,1,122.1,,9.24,5630,0.85,,5/14/2014
279,HD 102956,b,1,6.495,,121.07,5054,1.68,4.4,5/14/2014
280,HD 103197,b,1,47.84,,49.33,5303,0.9,,5/14/2014
281,HD 103720,b,1,4.5557,,41.6,5017,0.79,0.73,1/8/2015
282,HD 103774,b,1,5.8881,,53.08,6489,1.33,,5/14/2014
283,HD 104067,b,1,55.806,,20.82,4969,0.79,,5/14/2014
284,HD 10442,b,1,1043,,,5034,1.56,,12/3/2014
285,HD 104985,b,1,199.505,,102.04,4877,2.3,11,5/14/2014
286,HD 106252,b,1,1531,,37.4,5870,1.01,,5/14/2014
287,HD 106270,b,1,2890,,87.87,5638,1.32,2.5,5/14/2014
288,HD 106315,b,2,9.55385,0.214,,6254,1.03,1.28,9/28/2017
289,HD 106315,c,2,21.058,0.393,,6254,1.03,1.28,9/28/2017
290,HD 10647,b,1,989.2,,17.35,6218,1.11,1.1,5/14/2014
291,HD 106515 A,b,1,3630,,36.36,5362,0.97,1.62,5/14/2014
292,HD 106906,b,1,,,91.83,6516,1.5,,5/14/2014
293,HD 10697,b,1,1075.2,,32.6,5680,1.11,,5/14/2014
294,HD 107148,b,1,48.056,,51.26,5797,1.12,,5/14/2014
295,HD 108147,b,1,10.8985,,38.56,6265,1.27,,5/14/2014
296,HD 108341,b,1,1129,,49.4,5122,0.84,0.79,1/8/2015
297,HD 108863,b,1,443.4,,138.5,4956,1.85,5.6,5/14/2014
298,HD 108874,b,2,395.8,,68.5,5551,0.95,,5/14/2014
299,HD 108874,c,2,1624,,68.5,5551,0.95,,5/14/2014
300,HD 109246,b,1,68.27,,65.6,5844,1.01,1.02,5/14/2014
301,HD 109271,b,2,7.8543,,56.92,5783,1.05,,5/14/2014
302,HD 109271,c,2,30.93,,56.92,5783,1.05,,5/14/2014
303,HD 109749,b,1,5.24,,59.03,5903,1.2,1.24,5/14/2014
304,HD 110014,b,1,835.477,,90,4445,2.17,20.9,5/14/2014
305,HD 111232,b,1,1143,,28.88,5494,0.78,,8/21/2014
306,HD 111591,b,1,1056.4,,108.46,4884,1.94,8.03,11/30/2017
307,HD 111998,b,1,825.9,,32.73,6557,1.18,1.45,9/8/2016
308,HD 113337,b,1,324,,37.42,6576.6,1.4,1.5,5/14/2014
309,HD 113538,b,2,663.2,,15.9,4462,0.58,0.53,1/8/2015
310,HD 113538,c,2,1818,,15.9,4462,0.58,0.53,1/8/2015
311,HD 113996,b,1,610.2,,101.63,4181,1.49,25.11,11/30/2017
312,HD 114386,b,1,937.7,,28.04,4804,0.68,,5/14/2014
313,HD 114613,b,1,3827,,20.48,5729,1.36,,5/14/2014
314,HD 114729,b,1,1114,,35,5821,1,,5/14/2014
315,HD 114762,b,1,83.9151,1.11,40.57,5673,0.83,1.24,12/17/2014
316,HD 114783,b,1,493.7,,20.4,5135,0.85,,5/14/2014
317,HD 11506,b,2,1627.5,,51.7,6055,1.24,1.33,12/3/2014
318,HD 11506,c,2,223.6,,51.7,6055,1.24,1.33,12/3/2014
319,HD 116029,b,1,670,,110.62,4951,1.58,4.6,5/14/2014
320,HD 117207,b,1,2597,,33.01,5724,1.08,,5/14/2014
321,HD 11755,b,1,433.7,,231.5,4312.5,0.9,27.3,10/15/2015
322,HD 117618,b,1,25.827,,38.02,5990,1.08,,5/14/2014
323,HD 118203,b,1,6.1335,,88.57,5600,1.23,,5/14/2014
324,HD 11964,b,2,1945,,33.98,5349,1.12,,5/14/2014
325,HD 11964,c,2,37.91,,33.98,5349,1.12,,5/14/2014
326,HD 11977,b,1,711,,66.49,4970,1.91,10.09,5/14/2014
327,HD 120084,b,1,2082,,97.66,4892,2.39,9.12,5/14/2014
328,HD 121504,b,1,63.33,,44.37,6075,1.18,,5/14/2014
329,HD 12484,b,1,58.83,,51.1,5920,1.01,,2/25/2016
330,HD 125595,b,1,9.6737,,27.45,4908,0.76,,5/14/2014
331,HD 125612,b,3,559.4,,52.83,5900,1.09,,5/14/2014
332,HD 125612,c,3,4.1547,,52.83,5900,1.09,,5/14/2014
333,HD 125612,d,3,3008,,52.83,5900,1.09,,5/14/2014
334,HD 12648,b,1,133.6,,158.4,4835.8,1.2,9.2,10/15/2015
335,HD 12661,b,2,262.709,,37.16,5748,1.02,1.11,11/19/2014
336,HD 12661,c,2,1708,,37.16,5748,1.02,1.11,11/19/2014
337,HD 126614,b,1,1244,,68.35,5585,1.15,1.09,5/14/2014
338,HD 128311,b,2,453.019,,16.52,,0.83,0.76,6/25/2015
339,HD 128311,c,2,921.538,,16.52,,0.83,0.76,6/25/2015
340,HD 128356,b,1,298.2,,26.03,4875,0.65,0.85,11/10/2016
341,HD 129445,b,1,1840,,67.61,,0.99,,5/14/2014
342,HD 130322,b,1,10.70871,,29.76,5387,0.92,0.85,2/19/2015
343,HD 131496,b,1,883,,121.36,4927,1.61,4.3,5/14/2014
344,HD 131664,b,1,1951,,57.21,5886,1.1,1.16,5/14/2014
345,HD 13189,b,1,471.6,,300.3,,,,5/14/2014
346,HD 132406,b,1,974,,70.97,,,,5/14/2014
347,HD 132563,b,1,1544,,98.52,,,,5/14/2014
348,HD 133131 A,b,2,649,,47,5799,0.95,,9/8/2016
349,HD 133131 A,c,2,3568,,47,5799,0.95,,9/8/2016
350,HD 133131 B,b,1,5769,,47,5805,0.93,,9/8/2016
351,HD 134987,b,2,258.19,,22.2,5585,1.1,1.25,5/14/2014
352,HD 134987,c,2,5000,,22.2,5585,1.1,1.25,5/14/2014
