rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
581,HD 3167,c,Transit,3,29.8454,0.1795,0.267,89.3,0.03083,Mass,0.269,1.97,0,0,1,0,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,45.8,8.94,V (Johnson),,5261,0.86,0.86,6/8/2017,HD 3167 c,1,0,0,0,0,0,3.92E+00,,,2.23,,16.6,0.03083,,9.8,,9.8,3.01,0.028,0.0946,0.2145833,2457394.979,BJD-TDB,0.5,,40.323,0.0313,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>,2016,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...829L...9V target=ref>Vanderburg et al. 2016</a>,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3,0,46,16,http://exoplanet.eu/catalog/hd_3167_c/,,,HD 3167,HIP 2736,0.58264561,115.110361,-58.239787,9.752748,0.563151,,,,110.8,-171.2,203.9,,,,19.5,5,K0 V,4.47,,1.902,0.04,[Fe/H],,1.7,,,,,1,0,1,0,0,3,0,,8.94,9.767,,,7.548,7.203,7.066,6.942,7.09,7.054,7.065,,,,,,,,,,,,19,,0.826,,,0.345,0.137,0.482,,,,6
582,HD 3167,d,Radial Velocity,3,8.509,0.07757,0.36,,0.02171,Msini,,,0,0,0,0,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,45.8,8.94,V (Johnson),,5261,0.86,0.86,6/8/2017,HD 3167 d,0,1,0,0,0,0,1.69E+00,,,,,88.9,,0.02171,,6.9,6.9,,,,,2457806.07,BJD-TDB,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..122C target=ref>Christiansen et al. 2017</a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,22,16,,,,HD 3167,HIP 2736,0.58264561,115.110361,-58.239787,9.752748,0.563151,,,,110.8,-171.2,203.9,,,,19.5,5,K0 V,4.47,,1.902,0.04,[Fe/H],,1.7,,,,,1,0,1,0,0,3,0,,8.94,9.767,,,7.548,7.203,7.066,6.942,7.09,7.054,7.065,,,,,,,,,,,,19,,0.826,,,0.345,0.137,0.482,,,,6
583,HD 32518,b,Radial Velocity,1,157.54,0.59,0.01,,3.04,Msini,,,0,0,0,0,05h09m36.72s,77.403,+69d38m21.9s,69.639404,117.37,6.421,V (Johnson),,4580,1.13,10.22,5/14/2014,HD 32518 b,0,1,0,0,0,0,5.03E+00,2452950.29,306.11,115.83,,,,3.04,,966.16,966.16,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,2009,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,19,13,http://exoplanet.eu/catalog/hd_32518_b/,http://exoplanets.org/detail/HD_32518_b,2009-10,HD 32518,HIP 24003,5.16019999,142.122763,17.121583,83.673917,46.476591,8.52,,,61,-61.7,86.8,,,,,5.1,K1 III,2.1,,,-0.15,[Fe/H],5.83,1.2,,,,,2,0,1,1,0,3,0,,6.421,7.53,,,4.531,3.992,3.911,,,,,,,,,,,,3.49E+00,3.65E+00,1.18E+00,-9.57E-01,12,,1.109,,,0.539,0.081,0.62,,,,5
584,HD 32963,b,Radial Velocity,1,2372,3.41,0.07,,0.7,Msini,,,0,0,0,0,05h07m55.76s,76.982353,+26d19m40.7s,26.327963,35.24,7.6,V (Johnson),,5727,0.94,,1/5/2016,HD 32963 b,0,1,0,0,0,0,9.68E+01,2450532,107,11.1,,,,0.7,,222.481,222.481,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...817..104R target=ref>Rowan et al. 2016</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...817..104R target=ref>Rowan et al. 2016</a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,16,18,http://exoplanet.eu/catalog/hd_32963_b/,,,HD 32963,HIP 23884,5.13215688,177.531765,-8.389567,78.331736,3.414424,28.38,,,-67.8,-66.5,95,,,,-62.9,4.5,G5,4.41,,,0.11,[Fe/H],4.99,1.2,0.156,-5.02,,,1,0,1,0,0,3,2,,7.6,8.27,,,6.42,6.098,6.024,6.022,5.988,6.062,6.021,,,,,,,,,,,,13,,0.6,,,0.322,0.074,0.396,0.418,0.228,0.339,12
585,HD 330075,b,Radial Velocity,1,3.38773,0.039,0,,0.62,Msini,,,0,0,0,0,15h49m37.69s,237.407043,-49d57m48.7s,-49.963524,50.2,9.334,V (Johnson),9.02,5017,0.7,,11/19/2014,HD 330075 b,0,1,0,0,0,0,7.77E-01,2452878.815,0,107,990,,,0.62,,197.05,197.05,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...423..385P target=ref> Pepe et al. 2004 </a>,2004,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...423..385P target=ref> Pepe et al. 2004 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,33,18,http://exoplanet.eu/catalog/hd_330075_b/,http://exoplanets.org/detail/HD_330075_b,2004-08,HD 330075,HIP 77517,15.82713623,329.806725,3.376207,246.627636,-29.135236,19.92,21.9,45.66,-231.8,-94.7,250.4,-232.8,-92.5,250.5,61.28,5.1,K1,4.22,-0.33,,0.08,[Fe/H],6.2,0.7,,,,,2,0,1,1,0,3,0,,9.334,10.232,,,7.725,7.253,7.171,7.091,7.194,7.148,7.368,,,,,,,,,,,,15,,0.898,,,0.472,0.082,0.554,,,,6
586,HD 33142,b,Radial Velocity,1,326.6,1.06,0.12,,1.3,Msini,,,0,0,0,0,05h07m35.54s,76.898087,-13d59m11.3s,-13.98648,136.8,8.13,V (Johnson),7.65,5052,1.48,4.2,5/14/2014,HD 33142 b,0,1,0,0,0,0,7.75E+00,2455324,143,30.4,,,,1.3,,413.2,413.2,,,,,,,,,,,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>,2011,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,25,16,http://exoplanet.eu/catalog/hd_33142_b/,http://exoplanets.org/detail/HD_33142_b,2011-12,HD 33142,HIP 23844,5.1265391,214.337621,-29.226453,74.07609,-36.704299,7.31,8.62,115.98,-7.1,33.9,34.6,-7.5,33.7,34.5,,5,K0 III,3.5,1.021,,0.05,[Fe/H],3,2.97,,,,,1,0,1,0,0,3,2,,8.13,8.904,,,6.345,5.903,5.792,5.781,5.721,5.756,5.718,,,,,,,,,,,,14,,0.95,,,0.442,0.111,0.553,0.569,0.353,0.431,9
587,HD 33283,b,Radial Velocity,1,18.179,0.145,0.48,,0.33,Msini,,,0,0,0,0,05h08m01.01s,77.004219,-26d47m50.9s,-26.797472,86.88,8.051,V (Johnson),7.863,5995,1.24,1.2,11/19/2014,HD 33283 b,0,1,0,0,0,0,1.67E+00,2453017.6,155.8,25.2,,,,0.33,,104.88,104.88,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...647..600J target=ref> Johnson et al. 2006 </a>,2006,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...647..600J target=ref> Johnson et al. 2006 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,27,21,http://exoplanet.eu/catalog/hd_33283_b/,http://exoplanets.org/detail/HD_33283_b,2006-08,HD 33283,HIP 23889,5.1336146,228.496876,-33.505333,72.023455,-49.428934,11.51,11.32,88.35,57.8,-46.3,74.1,56.2,-46,72.6,4.1,4.3,G3 V,4.21,,,0.366,[Fe/H],,3.2,,,,,2,0,1,1,0,3,2,,8.051,8.675,,,6.983,6.729,6.646,6.636,6.612,6.634,6.6,,,,,,,,,,,,15,,0.624,,,0.254,0.083,0.337,0.401,0.196,0.456,12
588,HD 33564,b,Radial Velocity,1,388,1.1,0.34,,9.1,Msini,,,0,0,0,0,05h22m33.53s,80.639717,+79d13m52.1s,79.231148,20.98,5.08,V (Johnson),,6250,1.25,,12/3/2014,HD 33564 b,0,1,0,0,0,0,5.24E+01,2452603,205,232,,,,9.1,,2892.1,2892.1,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...444L..21G target=ref> Galland et al. 2005 </a>,2005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...444L..21G target=ref> Galland et al. 2005 </a>,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,3,0,26,24,http://exoplanet.eu/catalog/hd_33564_b/,http://exoplanets.org/detail/HD_33564_b,2005-12,HD 33564,HIP 25110,5.37598114,133.734459,22.648095,86.893355,55.892842,47.66,,,-78.5,161,179.1,,,,0.11,3.7,F7 V,4,,,-0.12,[Fe/H],3,12,0.148,,28.15,,1,0,1,0,0,4,0,,5.08,5.56,,,4.416,4.201,3.911,3.965,3.705,3.956,3.889,,,,,3.97E+00,3.73E+00,,3.48E+00,3.63E+00,1.55E+00,-9.16E-01,20,,0.48,,,0.215,0.29,0.505,,,,6
589,HD 33844,b,Radial Velocity,2,551.4,1.6,0.15,,1.96,Msini,,,0,0,0,0,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111,100.9,7.286,V (Johnson),6.943,4861,1.78,5.29,1/14/2016,HD 33844 b,0,1,0,0,0,0,1.59E+01,2454609,211,33.5,,,,1.96,,622.9468,622.9468,,,,,,BJD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...35W target=ref>Wittenmyer et al. 2016</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...35W target=ref>Wittenmyer et al. 2016</a>,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,14,16,http://exoplanet.eu/catalog/hd_33844_b/,,,HD 33844,HIP 24275,5.21002808,215.896894,-28.494268,75.459795,-37.794184,,9.46,105.74,33,30.7,45.1,32.9,31,45.2,,5,K0 III,3.24,1.149,,0.27,[Fe/H],1.88,1,,,,,1,0,1,0,0,3,1,,7.286,8.332,,,5.574,5.132,4.945,4.937,4.829,4.935,4.87,,,,,,,,4.44E+00,3.58E+00,1.18E+00,-1.18E+00,17,,1.04,,,0.442,0.187,0.629,0.626,0.46,0.411,9
590,HD 33844,c,Radial Velocity,2,916,2.24,0.13,,1.75,Msini,,,0,0,0,0,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111,100.9,7.286,V (Johnson),6.943,4861,1.78,5.29,1/14/2016,HD 33844 c,0,1,0,0,0,0,2.22E+01,2454544,71,25.4,,,,1.75,,556.2025,556.2025,,,,,,BJD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...35W target=ref>Wittenmyer et al. 2016</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...818...35W target=ref>Wittenmyer et al. 2016</a>,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,14,16,http://exoplanet.eu/catalog/hd_33844_c/,,,HD 33844,HIP 24275,5.21002808,215.896894,-28.494268,75.459795,-37.794184,,9.46,105.74,33,30.7,45.1,32.9,31,45.2,,5,K0 III,3.24,1.149,,0.27,[Fe/H],1.88,1,,,,,1,0,1,0,0,3,1,,7.286,8.332,,,5.574,5.132,4.945,4.937,4.829,4.935,4.87,,,,,,,,4.44E+00,3.58E+00,1.18E+00,-1.18E+00,17,,1.04,,,0.442,0.187,0.629,0.626,0.46,0.411,9
591,HD 34445,b,Radial Velocity,6,1056.7,2.075,0.014,,0.629,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 b,0,1,0,0,0,0,4.61E+01,,114.6,12.01,,,,0.629,,200,200,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2009,<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,30,19,http://exoplanet.eu/catalog/hd_34445_b/,http://exoplanets.org/detail/HD_34445_b,2010-10,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
592,HD 34445,c,Radial Velocity,6,214.67,0.7181,0.036,,0.168,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 c,0,1,0,0,0,0,1.59E+01,,149,5.45,,,,0.168,,53.5,53.5,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,24,19,,,,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
593,HD 34445,d,Radial Velocity,6,117.87,0.4817,0.027,,0.097,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 d,0,1,0,0,0,0,1.07E+01,,246.4,3.81,,,,0.097,,30.7,30.7,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,24,19,,,,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
594,HD 34445,e,Radial Velocity,6,49.175,0.2687,0.09,,0.0529,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 e,0,1,0,0,0,0,5.97E+00,,303.7,2.75,,,,0.0529,,16.8,16.8,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,24,19,,,,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
595,HD 34445,f,Radial Velocity,6,676.8,1.543,0.031,,0.119,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 f,0,1,0,0,0,0,3.43E+01,,212,2.74,,,,0.119,,37.9,37.9,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,24,19,,,,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
596,HD 34445,g,Radial Velocity,6,5700,6.36,0.032,,0.38,Msini,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,7.328,V (Johnson),7.115,5836,1.07,1.38,10/26/2017,HD 34445 g,0,1,0,0,0,0,1.41E+02,,234.9,4.08,,,,0.38,,120.6,120.6,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,2017,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....154..181V target=ref>Vogt et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,24,19,,,,HD 34445,HIP 24681,5.29471639,195.038274,-17.021819,79.098012,-15.686473,22.22,22.04,45.37,-1.9,-148.5,148.5,-0.7,-146.9,146.9,-79.4,4,G0 V,4.21,0.303,,0.14,[Fe/H],8.5,2.7,0.154,-5.04,,,1,0,1,0,0,3,3,,7.328,7.969,,,6.122,5.848,5.79,5.79,5.711,5.817,5.76,,,,,,,,,,,,14,,0.661,,,0.274,0.058,0.332,0.412,0.213,0.356,9
597,HD 35759,b,Radial Velocity,1,82.467,0.389,0.389,,3.76,Msini,,,0,0,0,0,05h31m33.35s,82.888962,+64d19m07.6s,64.318779,72.5,7.74,V (Johnson),7.566,6060,1.15,,2/25/2016,HD 35759 b,0,1,0,0,0,0,5.37E+00,2456469.72,-104,173.9,,,,3.76,,1195.0408,1195.0408,,,,,,BJD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,3,0,11,13,http://exoplanet.eu/catalog/hd_35759_b/,,,HD 35759,HIP 25883,5.52593079,148.030383,16.213427,85.925025,40.980043,13.83,14.11,70.86,-29.6,-94.8,99.3,-29.3,-92.7,97.2,-12.57,4,G0,4.24,,,0.04,[Fe/H],,3.5,,,,,1,0,1,0,0,3,0,,7.74,8.329,,,6.606,6.388,6.319,6.312,6.275,6.338,6.247,,,,,,,,,,,,14,,0.59,,,0.218,0.069,0.287,,,,6
598,HD 3651,b,Radial Velocity,1,62.218,0.295,0.596,,0.229,Msini,,,0,0,0,0,00h39m21.81s,9.840858,+21d15m01.7s,21.250473,11.1,5.86,V (Johnson),,5221,0.88,,5/14/2014,HD 3651 b,0,1,0,0,0,0,2.66E+01,2453932.6,242.5,15.9,,,,0.229,,72.78,72.78,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJS..182...97W target=ref> Wittenmyer et al. 2009 </a>,2003,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...590.1081F target=ref> Fischer et al. 2003 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,50,40,http://exoplanet.eu/catalog/hd_3651_b/,http://exoplanets.org/detail/HD_3651_b,2003-06,HD 3651,HIP 3093,0.65605723,119.172655,-41.53309,17.544426,15.615189,,,,-460.6,-369.8,590.7,,,,-33.5,5,K0 V,,,,0.24,[Fe/H],,1.1,0.169,-5.02,27.21,,12,0,1,11,0,5,5,7.28,5.86,6.71,,,4.549,4.064,3.999,3.786,3.577,3.898,3.901,,,,,3.94E+00,4.22E+00,,3.54E+00,3.09E+00,1.18E+00,-9.69E-01,23,0.57,0.85,,,0.485,0.065,0.55,0.502,0.392,0.325,11
599,HD 37124,b,Radial Velocity,3,154.378,0.53364,0.054,,0.675,Msini,,,0,0,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.7,V (Johnson),,,0.85,,8/18/2016,HD 37124 b,0,1,0,0,0,0,1.61E+01,2450305,130,28.5,,,,0.675,,214.53525,214.53525,,,,,,JD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...730...93W target=ref>Wright et al. 2011</a>,2002,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,48,25,http://exoplanet.eu/catalog/hd_37124_b/,http://exoplanets.org/detail/HD_37124_b,2003-01,HD 37124,HIP 26381,5.61735738,185.962494,-5.973532,84.627555,-2.601527,30.08,,,-79.75,-419.96,427.47,,,,-23.1,4.4,G4 V,,,,-0.44,[Fe/H],,1.2,0.179,-4.9,,,4,0,1,3,0,3,2,,7.7,,,,6.359,6.021,5.952,5.98,5.898,5.994,5.956,,,,,,,,,,,,15,,0.694,,,0.338,0.069,0.407,,,,5
600,HD 37124,c,Radial Velocity,3,885.5,1.71,0.125,,0.652,Msini,,,0,0,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.7,V (Johnson),,,0.85,,8/18/2016,HD 37124 c,0,1,0,0,0,0,5.14E+01,2449534,53,15.4,,,,0.652,,207.22516,207.22516,,,,,,JD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...730...93W target=ref>Wright et al. 2011</a>,2002,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,48,25,http://exoplanet.eu/catalog/hd_37124_c/,http://exoplanets.org/detail/HD_37124_c,2003-01,HD 37124,HIP 26381,5.61735738,185.962494,-5.973532,84.627555,-2.601527,30.08,,,-79.75,-419.96,427.47,,,,-23.1,4.4,G4 V,,,,-0.44,[Fe/H],,1.2,0.179,-4.9,,,4,0,1,3,0,3,2,,7.7,,,,6.359,6.021,5.952,5.98,5.898,5.994,5.956,,,,,,,,,,,,15,,0.694,,,0.338,0.069,0.407,,,,5
601,HD 37124,d,Radial Velocity,3,1862,2.807,0.16,,0.696,Msini,,,0,0,0,0,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,7.7,V (Johnson),,,0.85,,8/18/2016,HD 37124 d,0,1,0,0,0,0,8.45E+01,2448558,0,12.8,,,,0.696,,221.20968,221.20968,,,,,,JD,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...730...93W target=ref>Wright et al. 2011</a>,2005,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...632..638V target=ref> Vogt et al. 2005 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,41,25,http://exoplanet.eu/catalog/hd_37124_d/,http://exoplanets.org/detail/HD_37124_d,2005-10,HD 37124,HIP 26381,5.61735738,185.962494,-5.973532,84.627555,-2.601527,30.08,,,-79.75,-419.96,427.47,,,,-23.1,4.4,G4 V,,,,-0.44,[Fe/H],,1.2,0.179,-4.9,,,4,0,1,3,0,3,2,,7.7,,,,6.359,6.021,5.952,5.98,5.898,5.994,5.956,,,,,,,,,,,,15,,0.694,,,0.338,0.069,0.407,,,,5
